0,1,2,3,4,5
191,1034 sq.ft,2,20.20928324419548,Semifurnished,"18,500"
194,1893 sq.ft,3,11.886683845532827,Semifurnished,"26,000"
195,900 sq.ft,2,10.67560305404598,Semifurnished,"12,000"
197,2062 sq.ft,4,20.20928324419548,Semifurnished,"24,000"
198,1666 sq.ft,3,11.886683845532827,Semifurnished,"25,000"
199,1455 sq.ft,3,11.886683845532827,Semifurnished,"22,600"
200,1710 sq.ft,3,11.886683845532827,Semifurnished,"22,000"
201,1662 sq.ft,3,11.886683845532827,Semifurnished,"24,000"
202,1435 sq.ft,3,11.886683845532827,Semifurnished,"24,000"
203,1666 sq.ft,3,11.886683845532827,Semifurnished,"25,500"
204,1420 sq.ft,3,11.886683845532827,Semifurnished,"21,000"
205,1662 sq.ft,3,11.886683845532827,Semifurnished,"25,000"
206,1666 sq.ft,3,11.886683845532827,Semifurnished,"24,000"
207,1420 sq.ft,3,11.886683845532827,Semifurnished,"24,000"
208,1665 sq.ft,3,11.886683845532827,Semifurnished,"25,000"
209,1420 sq.ft,3,11.886683845532827,Semifurnished,"23,000"
210,300 sq.ft,0,9.144927264377484,Semifurnished,"10,000"
211,600 sq.ft,1,10.272978869889736,Semifurnished,8500
216,1250 sq.ft,2,11.897940385218025,Semifurnished,"29,000"
219,541 sq.ft,1,8.879326540194018,Semifurnished,"17,000"
221,799 sq.ft,2,11.38430605715808,Semifurnished,"17,980"
222,600 sq.ft,1,11.38430605715808,Semifurnished,"12,101"
223,1200 sq.ft,2,14.557471278724925,Semifurnished,"26,000"
225,650 sq.ft,1,7.199244853721986,Semifurnished,"14,000"
226,1111 sq.ft,2,13.882207258491382,Semifurnished,"22,145"
227,9000 sq.ft,5,10.961067435897174,Semifurnished,3.5 Lac
229,682 sq.ft,1,8.759031125904645,Semifurnished,"20,000"
232,880 sq.ft,1,12.268622002595869,Semifurnished,"11,200"
233,684 sq.ft,1,8.759031125904645,Semifurnished,"19,000"
234,2553 sq.ft,3,9.208702516911533,Semifurnished,"65,000"
235,1854 sq.ft,3,10.67560305404598,Semifurnished,"28,000"
236,1600 sq.ft,3,6.080037678064637,Semifurnished,"75,000"
239,1200 sq.ft,2,7.687123215287745,Semifurnished,"25,000"
240,1280 sq.ft,2,9.144927264377484,Semifurnished,"35,500"
242,1265 sq.ft,3,11.886683845532827,Semifurnished,"27,500"
243,490 sq.ft,1,6.779595360384149,Semifurnished,"10,100"
247,1450 sq.ft,2,4.341748867267065,Semifurnished,"36,000"
248,600 sq.ft,1,43.31306301440419,Semifurnished,"14,000"
249,1150 sq.ft,2,10.961067435897174,Semifurnished,"28,000"
256,500 sq.ft,1,9.860482829899476,Semifurnished,"15,000"
259,900 sq.ft,1,9.176961100944519,Semifurnished,"19,000"
260,1010 sq.ft,2,19.09064471626785,Semifurnished,"15,000"
265,978 sq.ft,2,19.09064471626785,Semifurnished,"16,000"
266,1200 sq.ft,4,9.05692984295668,Semifurnished,"40,000"
267,3600 sq.ft,4,7.687123215287745,Semifurnished,"65,000"
269,1000 sq.ft,2,5.808063250003965,Semifurnished,"20,000"
270,1700 sq.ft,3,51.37241805205223,Semifurnished,"18,000"
271,577 sq.ft,1,15.065502846964257,Semifurnished,"16,500"
273,560 sq.ft,1,7.662880646679782,Semifurnished,"13,900"
274,4000 sq.ft,4,2.0268532117674694,Semifurnished,1.6 Lac
275,1234 sq.ft,2,12.723746083237126,Semifurnished,"32,500"
276,1429 sq.ft,2,12.65437196635924,Semifurnished,"27,000"
277,1600 sq.ft,3,8.861795700172934,Furnished,"30,000"
278,500 sq.ft,1,6.1703942442871025,Furnished,"33,000"
279,200 sq.ft,0,14.369324137985625,Semifurnished,5000
281,1700 sq.ft,3,10.101313475375827,Semifurnished,"36,000"
284,1100 sq.ft,2,5.808063250003965,Semifurnished,"16,000"
