"3436 sq.ft","4","Rajaji Nagar","Semifurnished","1.6 Lac"
"1550 sq.ft","3","Shikaripalya","Semifurnished","17,500"
"1056 sq.ft","2","Thanisandra","Semifurnished","22,000"
"2400 sq.ft","2","Koramangala","Furnished","35,000"
"1690 sq.ft","3","Akshaya Nagar","Semifurnished","23,500"
"800 sq.ft","1","Frazer Town","Semifurnished","20,000"
"1250 sq.ft","2","Doddanekundi","Semifurnished","24,000"
"1200 sq.ft","2","HAL 2nd Stage","","22,000"
"550 sq.ft","1","Neeladri Nagar","Semifurnished","7000"
"651 sq.ft","1","Sector 7 HSR Layout","Semifurnished","15,000"
"700 sq.ft","1","Vignana Nagar","Semifurnished","14,000"
"1000 sq.ft","2","Sector 4 HSR Layout","Semifurnished","27,000"
"450 sq.ft","1","Sector 2 HSR Layout","Furnished","25,000"
"1164 sq.ft","2","Kudlu Gate","Semifurnished","28,000"
"1128 sq.ft","2","","Semifurnished","24,000"
"1116 sq.ft","2","Horamavu Agara","Semifurnished","18,500"
"1100 sq.ft","2","4th Block Koramangala","Semifurnished","29,000"
"1500 sq.ft","3","Sahakara Nagar","Semifurnished","30,000"
"1700 sq.ft","3","Sahakara Nagar","Semifurnished","30,000"
"1000 sq.ft","2","6th block Koramangala","Semifurnished","26,000"
"900 sq.ft","1","Reliaable Tranquil Layout","Furnished","20,000"
"650 sq.ft","2","Whitefield","Semifurnished","18,000"
"1750 sq.ft","3","Doddanakundi Industrial Area 2","Furnished","35,000"
"5200 sq.ft","4","Whitefield","Furnished","1.9 Lac"
"1350 sq.ft","2","Green Glen Layout","Semifurnished","30,000"
"4280 sq.ft","4","Sarjapur","Semifurnished","39,000"
"1050 sq.ft","2","Thanisandra","Semifurnished","25,000"
"1241 sq.ft","2","Sathya Layout","Semifurnished","23,510"
"600 sq.ft","1","Teachers Colony","Semifurnished","15,000"
"1200 sq.ft","1","Anand Nagar","Semifurnished","11,000"
"1114 sq.ft","2","Pragathi Layout","Semifurnished","19,800"
"687 sq.ft","1","Pragathi Layout","Semifurnished","15,780"
"1655 sq.ft","3","EPIP Zone","Semifurnished","43,000"
"650 sq.ft","1","Kundalahalli","Semifurnished","18,000"
"1350 sq.ft","3","Kanakapura","","14,000"
"1200 sq.ft","2","Koramangala","Semifurnished","25,000"
"320 sq.ft","0","Uas Layout","Semifurnished","7000"
"390 sq.ft","1","BTM 2nd Stage","Semifurnished","12,300"
"1270 sq.ft","2","Electronic City","Semifurnished","23,000"
"2800 sq.ft","3","CV Raman Nagar","Semifurnished","31,000"
"1100 sq.ft","2","Kalena Agrahara","Semifurnished","9000"
"2600 sq.ft","3","Nagavara","Semifurnished","70,000"
"625 sq.ft","1","Kadugodi","Semifurnished","12,500"
"900 sq.ft","2","AECS Layout","Semifurnished","20,000"
"4404 sq.ft","4","Whitefield","Semifurnished","1.1 Lac"
"1794 sq.ft","3","Rainbow Drive","Semifurnished","45,000"
"3558 sq.ft","4","Classic Orchards Layout","Semifurnished","70,000"
"1288 sq.ft","3","Yelachanayakanapura","Semifurnished","17,000"
"1500 sq.ft","3","Akshayanagara West","Semifurnished","25,600"
"1500 sq.ft","3","Vishwapriya Nagar","Semifurnished","17,000"
"1100 sq.ft","2","Kaggadasapura","Semifurnished","19,000"
"2250 sq.ft","3","Sanjeevini Nagar","Furnished","65,000"
"1699 sq.ft","3","Yeshwanthpur","Semifurnished","39,000"
"1699 sq.ft","3","Yeshwanthpur","Semifurnished","37,000"
"1810 sq.ft","3","Yeshwanthpur","Semifurnished","38,000"
"789 sq.ft","1","Jeevan bima nagar","Semifurnished","23,000"
"2061 sq.ft","3","Hulimavu","Semifurnished","32,000"
"1250 sq.ft","2","3rd Phase JP Nagar","Semifurnished","27,000"
"1668 sq.ft","3","Kundalahalli","Semifurnished","30,000"
"1000 sq.ft","1","Commercial Street","Semifurnished","10,000"
"600 sq.ft","1","Murugeshpalya","Semifurnished","17,000"
"1562 sq.ft","3","Whitefield","Semifurnished","30,000"
"2000 sq.ft","3","1A Block Koramangala","Semifurnished","65,000"
"560 sq.ft","1","Kaggadasapura","Semifurnished","14,000"
"1165 sq.ft","2","Kadugodi","Semifurnished","23,000"
"1304 sq.ft","2","Yelahanka","Semifurnished","25,000"
"1198 sq.ft","1","Marathahalli","Furnished","20,000"
"1914 sq.ft","3","Hebbal","Semifurnished","35,000"
"1800 sq.ft","4","4th Block Koramangala","Semifurnished","71,000"
"3122 sq.ft","4","Whitefield","Furnished","80,000"
"1250 sq.ft","2","Pragathi Layout","Semifurnished","22,000"
"550 sq.ft","1","Sector 1 HSR Layout","Semifurnished","14,000"
"1200 sq.ft","2","Babusapalaya","Semifurnished","13,500"
"852 sq.ft","1","Mahadevpura","Semifurnished","17,000"
"400 sq.ft","0","Doddanekundi","Furnished","11,500"
"520 sq.ft","1","Garudachar Palya","Semifurnished","9500"
"1465 sq.ft","3","Mahadevpura","Semifurnished","31,800"
"1450 sq.ft","3","Mahadevpura","Semifurnished","34,000"
"1460 sq.ft","2","Horamavu","Semifurnished","26,000"
"600 sq.ft","1","Indira Nagar","Semifurnished","15,000"
"1100 sq.ft","2","Hebbal","","18,000"
"1158 sq.ft","2","Seetharampalya","Semifurnished","22,000"
"1650 sq.ft","3","Whitefield","Semifurnished","40,000"
"1200 sq.ft","1","Sadanand Nagar","Semifurnished","10,000"
"1548 sq.ft","3","Attibele","Semifurnished","14,000"
"1603 sq.ft","3","Konanakunte","Furnished","40,000"
"1379 sq.ft","2","Konanakunte","Semifurnished","29,000"
"1530 sq.ft","3","Singasandra","Furnished","30,000"
"598 sq.ft","1","Garudachar Palya","Semifurnished","11,800"
"1290 sq.ft","2","Jakkur","Semifurnished","26,000"
"200 sq.ft","1","Hulimavu","Semifurnished","8000"
"750 sq.ft","2","Electronics City Phase 1","Furnished","14,000"
"700 sq.ft","2","Kodihalli","Semifurnished","16,000"
"1839 sq.ft","3","Whitefield","Semifurnished","33,500"
"2000 sq.ft","3","Electronic City","Semifurnished","18,000"
"1555 sq.ft","3","Whitefield","Furnished","60,000"
"500 sq.ft","1","Munnekollal","Semifurnished","12,500"
"1475 sq.ft","3","Sector 3 HSR Layout","Semifurnished","26,000"
"1359 sq.ft","3","","Semifurnished","26,000"
"2190 sq.ft","3","Yelahanka","Furnished","1.2 Lac"
"650 sq.ft","1","Immadihalli","Semifurnished","11,000"
"1200 sq.ft","1","4th Block Koramangala","Semifurnished","17,500"
"1200 sq.ft","2","Ambalipura","Semifurnished","30,000"
"850 sq.ft","2","Bannerghatta","Semifurnished","15,000"
"900 sq.ft","1","NRI Layout","Semifurnished","8000"
"1034 sq.ft","2","Ardendale","Semifurnished","18,500"
"1099 sq.ft","2","Whitefield","Semifurnished","21,000"
"1095 sq.ft","2","Whitefield","Semifurnished","22,000"
"1893 sq.ft","3","Akshaya Nagar","Semifurnished","26,000"
"900 sq.ft","2","Thanisandra","Semifurnished","12,000"
"1300 sq.ft","2","Basavangudi","Semifurnished","29,000"
"2062 sq.ft","4","Ardendale","Semifurnished","24,000"
"1666 sq.ft","3","Akshaya Nagar","Semifurnished","25,000"
"1455 sq.ft","3","Akshaya Nagar","Semifurnished","22,600"
"1710 sq.ft","3","Akshaya Nagar","Semifurnished","22,000"
"1662 sq.ft","3","Akshaya Nagar","Semifurnished","24,000"
"1435 sq.ft","3","Akshaya Nagar","Semifurnished","24,000"
"1666 sq.ft","3","Akshaya Nagar","Semifurnished","25,500"
"1420 sq.ft","3","Akshaya Nagar","Semifurnished","21,000"
"1662 sq.ft","3","Akshaya Nagar","Semifurnished","25,000"
"1666 sq.ft","3","Akshaya Nagar","Semifurnished","24,000"
"1420 sq.ft","3","Akshaya Nagar","Semifurnished","24,000"
"1665 sq.ft","3","Akshaya Nagar","Semifurnished","25,000"
"1420 sq.ft","3","Akshaya Nagar","Semifurnished","23,000"
"300 sq.ft","0","Sector 7 HSR Layout","Semifurnished","10,000"
"600 sq.ft","1","Horamavu","Semifurnished","8500"
"701 sq.ft","1","Whitefield","Semifurnished","19,540"
"650 sq.ft","1","Jeevan bima nagar","Semifurnished","15,000"
"5200 sq.ft","2","Murugeshpalya","Semifurnished","25,000"
"4000 sq.ft","2","Murugeshpalya","Semifurnished","26,000"
"1250 sq.ft","2","Kuvempu Nagar","Semifurnished","29,000"
"600 sq.ft","1","Vignana Nagar","Semifurnished","14,500"
"1200 sq.ft","2","GM Palaya","Semifurnished","22,000"
"541 sq.ft","1","Jagadish Nagar","Semifurnished","17,000"
"546 sq.ft","1","GM Palaya","Semifurnished","16,000"
"799 sq.ft","2","Kamdhenu Nagar","Semifurnished","17,980"
"600 sq.ft","1","Kamdhenu Nagar","Semifurnished","12,101"
"1200 sq.ft","2","Kundalahalli","Semifurnished","26,000"
"1301 sq.ft","2","Bml Layout","Semifurnished","30,000"
"650 sq.ft","1","Chikka Banaswadi","Semifurnished","14,000"
"1111 sq.ft","2","Seetharampalya","Semifurnished","22,145"
"9000 sq.ft","5","Bellandur","Semifurnished","3.5 Lac"
"700 sq.ft","1","CV Raman Nagar","Furnished","30,000"
"682 sq.ft","1","Konena Agrahara","Semifurnished","20,000"
"3000 sq.ft","3","5th Block Jayanagar","Semifurnished","45,000"
"1385 sq.ft","3","Arekere","Semifurnished","23,000"
"880 sq.ft","1","Kudlu","Semifurnished","11,200"
"684 sq.ft","1","Konena Agrahara","Semifurnished","19,000"
"2553 sq.ft","3","Nanjappa Garden","Semifurnished","65,000"
"1854 sq.ft","3","Thanisandra","Semifurnished","28,000"
"1600 sq.ft","3","HAL 2nd Stage","Semifurnished","75,000"
"395 sq.ft","1","Mahalakshmi Layout","","7000"
"1755 sq.ft","3","Harlur Road","Semifurnished","39,000"
"1200 sq.ft","2","New Thippasandra","Semifurnished","25,000"
"1280 sq.ft","2","Sector 7 HSR Layout","Semifurnished","35,500"
"1210 sq.ft","2","Kattanallur","Semifurnished","19,000"
"1265 sq.ft","3","Akshaya Nagar","Semifurnished","27,500"
"490 sq.ft","1","BTM 1st Stage","Semifurnished","10,100"
"1813 sq.ft","3","Rajaji Nagar","Semifurnished","57,000"
"1805 sq.ft","3","Rajaji Nagar","Semifurnished","56,000"
"1640 sq.ft","3","Kattanallur","Semifurnished","26,000"
"1450 sq.ft","2","Frazer Town","Semifurnished","36,000"
"600 sq.ft","1","Singasandra","Semifurnished","14,000"
"1150 sq.ft","2","Bellandur","Semifurnished","28,000"
"1658 sq.ft","3","Rajaji Nagar","Semifurnished","53,500"
"1639 sq.ft","3","Rajaji Nagar","Semifurnished","53,000"
"1349 sq.ft","2","Rajaji Nagar","Semifurnished","45,000"
"1348 sq.ft","2","Rajaji Nagar","Semifurnished","44,000"
"1340 sq.ft","2","Rajaji Nagar","Semifurnished","43,000"
"1312 sq.ft","2","Rajaji Nagar","Semifurnished","42,000"
"500 sq.ft","1","Malleshpalya","Semifurnished","15,000"
"570 sq.ft","1","Brookefield","Semifurnished","19,500"
"600 sq.ft","1","Brookefield","Semifurnished","18,000"
"900 sq.ft","1","Sector 3 HSR Layout","Semifurnished","19,000"
"1010 sq.ft","2","Kadugodi","Semifurnished","15,000"
"1450 sq.ft","3","Hagadur","","21,000"
"550 sq.ft","1","Kasavanhalli","Semifurnished","10,000"
"576 sq.ft","1","Munnekollal","Semifurnished","16,500"
"620 sq.ft","1","Brookefield","Semifurnished","19,000"
"978 sq.ft","2","Kadugodi","Semifurnished","16,000"
"1200 sq.ft","4","Kasturi Nagar","Semifurnished","40,000"
"3600 sq.ft","4","New Thippasandra","Semifurnished","65,000"
"1060 sq.ft","3","Electronic City","Semifurnished","22,000"
"1000 sq.ft","2","R.T. Nagar","Semifurnished","20,000"
"1700 sq.ft","3","Kothanur","Semifurnished","18,000"
"577 sq.ft","1","Rajeshwari Layout","Semifurnished","16,500"
"1980 sq.ft","3","Richmond Town","Furnished","1 Lac"
"560 sq.ft","1","BTM 2nd Stage","Semifurnished","13,900"
"4000 sq.ft","4","Lavelle Road","Semifurnished","1.6 Lac"
"1234 sq.ft","2","Old Madras Road","Semifurnished","32,500"
"1429 sq.ft","2","KR Puram","Semifurnished","27,000"
"1600 sq.ft","3","HBR Layout","Furnished","30,000"
"500 sq.ft","1","Domlur","Furnished","33,000"
"200 sq.ft","0","Hoodi","Semifurnished","5000"
"1215 sq.ft","2","Whitefield","Semifurnished","33,000"
"1700 sq.ft","3","Sarjapur Road","Semifurnished","36,000"
