,area,bedrooms,distance,furnished,price
141,1700.0,3,51.37,Semifurnished,18000
142,577.0,1,15.06,Semifurnished,16500
143,560.0,1,7.66,Semifurnished,13900
144,4000.0,4,2.02,Semifurnished,160000
145,1234.0,2,12.72,Semifurnished,32500
146,1429.0,2,12.65,Semifurnished,27000
147,1600.0,3,8.86,Furnished,30000
148,500.0,1,6.17,Furnished,33000
149,200.0,0,14.36,Semifurnished,5000
150,1700.0,3,10.1,Semifurnished,36000
151,1100.0,2,5.8,Semifurnished,16000
152,1650.0,3,12.58,Semifurnished,27000
153,1200.0,2,11.89,Semifurnished,25100
154,500.0,1,10.96,Semifurnished,15000
155,1560.0,3,9.15,Semifurnished,33000
156,1210.0,2,13.34,Semifurnished,29000
157,1200.0,2,9.15,Semifurnished,28000
158,1200.0,2,5.8,Semifurnished,23000
159,1100.0,2,39.12,Semifurnished,25100
160,2000.0,3,5.71,Semifurnished,60000
161,1410.0,3,16.39,Semifurnished,35000
162,1267.0,2,10.67,Semifurnished,20000
163,550.0,1,39.12,Semifurnished,15200
164,1774.0,3,2.37,Semifurnished,60000
165,575.0,1,9.05,Semifurnished,13000
166,750.0,1,9.17,Semifurnished,19000
167,600.0,1,9.05,Semifurnished,12000
168,1300.0,2,3.74,Semifurnished,27000
169,550.0,1,39.12,Furnished,22000
170,1636.0,3,24.67,Semifurnished,20000
171,955.0,2,43.31,Semifurnished,14500
172,600.0,1,14.55,Semifurnished,18000
173,580.0,1,10.42,Semifurnished,14500
174,1650.0,3,6.98,Furnished,33000
175,1499.0,3,17.39,Semifurnished,22000
176,699.0,1,19.09,Semifurnished,11000
177,450.0,1,6.77,Semifurnished,11000
178,540.0,1,9.14,Semifurnished,17500
179,1919.0,3,14.42,Semifurnished,43000
180,1515.0,3,6.73,Semifurnished,42000
181,1610.0,3,12.09,Semifurnished,32000
182,569.0,1,7.66,Semifurnished,12000
183,1996.0,3,10.67,Semifurnished,35000
184,1000.0,1,6.98,Semifurnished,9500
185,500.0,1,10.42,Semifurnished,13000
186,1500.0,3,12.58,Semifurnished,29000
187,2000.0,3,6.45,Semifurnished,40000
188,2550.0,3,32.58,Furnished,53000
189,1162.0,2,24.67,Furnished,20000
190,1265.0,2,11.48,Semifurnished,22000
191,1300.0,2,6.73,Semifurnished,22000
192,1200.0,2,10.42,Semifurnished,15000
193,590.0,1,7.66,Semifurnished,14000
194,10000.0,3,7.31,Semifurnished,45000
195,2000.0,3,7.31,Semifurnished,42000
196,1056.0,2,77.65,Semifurnished,20000
197,1482.0,3,7.88,Semifurnished,34000
198,1700.0,2,5.71,Furnished,80000
199,2551.0,3,12.74,Semifurnished,75000
200,4450.0,4,7.4,Semifurnished,140000
201,1160.0,2,17.39,Semifurnished,22000
202,1134.0,2,2.37,Semifurnished,45000
203,1680.0,3,6.98,Semifurnished,38000
204,1375.0,3,16.39,Semifurnished,27000
205,2428.0,3,7.4,Semifurnished,55000
206,1250.0,2,10.42,Furnished,25000
207,1300.0,2,2.5,Furnished,27000
208,3600.0,1,17.39,Semifurnished,8000
209,2422.0,4,20.2,Semifurnished,26000
210,400.0,1,7.66,Semifurnished,15100
211,2154.0,3,19.09,Semifurnished,38000
212,1500.0,3,39.12,Semifurnished,40000
213,1500.0,3,16.39,Semifurnished,23000
214,500.0,1,10.13,Semifurnished,14000
215,2187.0,3,7.88,Semifurnished,40000
216,500.0,1,10.42,Semifurnished,15000
217,750.0,1,10.42,Semifurnished,14000
218,1532.0,3,10.67,Semifurnished,25000
219,2700.0,3,12.58,Semifurnished,55000
220,897.0,2,69.95,Semifurnished,25000
221,750.0,1,13.76,Semifurnished,15000
222,1820.0,3,11.88,Semifurnished,29000
223,475.0,1,10.42,Semifurnished,13000
224,1400.0,2,12.58,Furnished,40000
225,2000.0,3,50.29,Semifurnished,45000
